time,x,y,phi,v,steer,a
0,8.590982,-0.010961,0.028669,10.000000,0.000000,-0.200000
1,9.570580,0.017131,-0.165242,9.800000,-0.512690,-0.200000
2,10.517503,-0.140780,-0.199966,9.600000,-0.102538,-0.200000
3,11.438772,-0.327498,-0.094990,9.400000,0.307614,-0.200000
4,12.354625,-0.414757,-0.277029,9.200000,-0.512690,-0.200000
5,13.220310,-0.660906,-0.000801,9.000000,0.717767,-0.200000
6,14.100309,-0.661611,-0.174926,8.800000,-0.512690,-0.200000
7,14.947185,-0.811281,-0.078883,8.600000,0.307614,-0.200000
8,15.784573,-0.877474,-0.109267,8.400000,-0.102538,-0.200000
9,16.599683,-0.966895,-0.017692,8.200000,0.307614,-0.200000
10,17.399558,-0.981047,-0.046628,8.000000,-0.102538,-0.200000
11,18.178710,-1.017404,-0.074842,7.800000,-0.102538,-0.200000
12,18.936583,-1.074231,0.010033,7.600000,0.307614,-0.200000
13,19.676545,-1.066807,-0.016733,7.400000,-0.102538,-0.100000
14,20.406443,-1.079021,-0.043138,7.300000,-0.102538,-0.200000
15,21.115783,-1.109640,-0.068820,7.100000,-0.102538,-0.200000
16,21.804149,-1.157088,-0.093777,6.900000,-0.102538,-0.200000
17,22.471205,-1.219827,-0.018954,6.700000,0.307614,-0.200000
18,23.121089,-1.232146,-0.042465,6.500000,-0.102538,-0.200000
21,25.030262,-1.238004,-0.018407,6.300000,-0.102538,-0.200000
22,25.640159,-1.249232,-0.040471,6.100000,-0.102538,-0.200000
23,26.229675,-1.273103,0.025418,5.900000,0.307614,-0.100000
24,26.809488,-1.258362,0.004439,5.800000,-0.102538,-0.200000
25,27.369483,-1.255876,-0.015817,5.600000,-0.102538,-0.200000
26,27.909415,-1.264417,-0.035349,5.400000,-0.102538,-0.200000
27,28.429090,-1.282795,0.022723,5.200000,0.307614,-0.200000
28,28.928961,-1.271434,-0.076211,5.000000,-0.512690,-0.200000
29,29.407568,-1.307980,-0.171188,4.800000,-0.512690,-0.200000
30,29.860844,-1.386342,-0.262208,4.600000,-0.512690,-0.200000
31,30.285805,-1.500396,-0.213070,4.400000,0.307614,-0.200000
32,30.696307,-1.589210,-0.228261,4.200000,-0.102538,-0.200000
33,31.085932,-1.679724,-0.307409,4.000000,-0.512690,0.000000
34,31.467180,-1.800760,-0.184641,4.000000,0.717767,-0.200000
35,31.840721,-1.870525,-0.068012,3.800000,0.717767,-0.200000
36,32.199889,-1.894990,-0.027808,3.600000,0.307614,-0.200000
39,33.208856,-1.896888,-0.006098,3.400000,-0.512690,-0.200000
40,33.528850,-1.898839,-0.017673,3.200000,-0.102538,-0.200000
41,33.828803,-1.904141,0.074403,3.000000,0.717767,-0.200000
42,34.108028,-1.883327,0.160341,2.800000,0.717767,-0.200000
43,34.364693,-1.841817,0.189377,2.600000,0.307614,-0.200000
44,34.600402,-1.796638,0.141888,2.400000,-0.512690,-0.200000
45,34.818192,-1.765527,0.098357,2.200000,-0.512690,-0.100000
46,35.027177,-1.744905,0.056805,2.100000,-0.512690,-0.200000
47,35.216870,-1.734118,0.019210,1.900000,-0.512690,-0.200000
48,35.406835,-1.730468,-0.018385,1.700000,-0.512690,-0.200000
49,35.606801,-1.734145,-0.025619,1.500000,-0.102538,-0.100000
50,35.806736,-1.739269,-0.032854,1.400000,-0.102538,-0.200000
51,36.006628,-1.745838,-0.040088,1.200000,-0.102538,-0.200000
52,36.206467,-1.753854,-0.017752,1.000000,0.307614,-0.200000
53,36.406436,-1.757404,-0.024987,0.800000,-0.102538,-0.200000
54,36.606373,-1.762401,-0.032221,0.600000,-0.102538,-0.200000
55,36.806269,-1.768844,-0.039455,0.400000,-0.102538,-0.200000
56,37.006114,-1.776733,-0.017119,0.200000,0.307614,-0.200000
57,37.212872,-2.171862,-0.000899,0.000000,0.000000,-0.200000
